id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
331,330,Live Nation Entertainment,11500,366,"$8,355 ",15.30%,$2.90 ,-,"$6,764 ","$6,219 "
332,331,Veritiv,8700,323,"$8,327 ",-4.50%,$21.00 ,-21.30%,"$2,484 ",$813 
333,332,News Corp.,24000,327,"$8,319 ",-3.60%,$179.00 ,-,"$15,483 ","$7,559 "
334,333,Crown Holdings,23992,321,"$8,284 ",-5.50%,$496.00 ,26.20%,"$9,599 ","$7,367 "
335,334,Global Partners,1770,276,"$8,240 ",-20.10%,($199.40),-557.80%,"$2,564 ",$663 
336,335,PVH,26650,340,"$8,203 ",2.30%,$549.00 ,-4.10%,"$11,068 ","$8,092 "
337,336,Level 3 Communications,12600,333,"$8,172 ",-0.70%,$677.00 ,-80.30%,"$24,888 ","$20,638 "
338,337,Navistar International,11300,281,"$8,111 ",-20.00%,($97.00),-,"$5,653 ","$2,416 "
339,338,Univar,8700,315,"$8,074 ",-10.10%,($68.40),-514.50%,"$5,390 ","$4,293 "
340,339,Campbell Soup,16500,337,"$7,961 ",-1.50%,$563.00 ,-18.50%,"$7,837 ","$17,423 "
341,340,Dick,27550,365,"$7,922 ",9.00%,$287.40 ,-13.00%,"$4,058 ","$5,489 "
342,341,Weyerhaeuser,10400,373,"$7,902 ",11.60%,"$1,027.00 ",103.00%,"$19,243 ","$25,451 "
343,342,Mutual of Omaha Insurance,5732,367,"$7,899 ",9.20%,$356.60 ,7.10%,"$38,465 ",-
344,343,Chesapeake Energy,3300,223,"$7,872 ",-38.30%,"($4,401.00)",-,"$13,028 ","$5,394 "
345,344,Anadarko Petroleum,4500,324,"$7,869 ",-9.50%,"($3,071.00)",-,"$45,564 ","$34,640 "
346,345,Interpublic Group,49800,355,"$7,847 ",3.10%,$608.50 ,33.90%,"$12,485 ","$9,648 "
347,346,J.M. Smucker,6910,452,"$7,811 ",37.20%,$688.70 ,99.70%,"$15,984 ","$15,263 "
348,347,Steel Dynamics,7695,356,"$7,777 ",2.40%,$382.10 ,-,"$6,424 ","$8,425 "
349,348,Foot Locker,32965,361,"$7,766 ",4.80%,$664.00 ,22.70%,"$3,840 ","$9,818 "
350,349,Western Refining,7134,289,"$7,743 ",-20.90%,$124.90 ,-69.30%,"$5,560 ","$3,812 "
351,350,SpartanNash,11500,351,"$7,735 ",1.10%,$56.80 ,-9.40%,"$1,930 ","$1,313 "
352,351,Dean Foods,17000,336,"$7,710 ",-5.10%,$119.90 ,-,"$2,606 ","$1,786 "
353,352,Zimmer Biomet Holdings,18500,431,"$7,684 ",28.10%,$305.90 ,108.10%,"$26,684 ","$24,571 "
354,353,PulteGroup,4623,433,"$7,669 ",28.20%,$602.70 ,22.00%,"$10,178 ","$7,466 "
355,354,W.R. Berkley,7608,368,"$7,654 ",6.20%,$601.90 ,19.50%,"$23,365 ","$8,561 "
356,355,Quanta Services,28100,352,"$7,651 ",0.20%,$198.40 ,-36.20%,"$5,354 ","$5,386 "
357,356,EOG Resources,2650,322,"$7,651 ",-12.60%,"($1,096.70)",-,"$29,459 ","$56,302 "
358,357,Charles Schwab,16200,401,"$7,644 ",17.60%,"$1,889.00 ",30.50%,"$223,383 ","$54,555 "
359,358,Eversource Energy,7762,343,"$7,639 ",-4.00%,$942.30 ,7.30%,"$32,053 ","$18,627 "
360,359,Anixter International,8900,391,"$7,625 ",15.60%,$120.50 ,-5.60%,"$4,094 ","$2,626 "
361,360,EMCOR Group,31000,381,"$7,552 ",12.30%,$181.90 ,5.60%,"$3,894 ","$3,756 "
362,361,Assurant,14700,275,"$7,532 ",-27.10%,$565.40 ,299.40%,"$29,709 ","$5,298 "
363,362,CenterPoint Energy,7727,363,"$7,528 ",1.90%,$432.00 ,-,"$21,829 ","$11,882 "
364,363,Harris,21000,505,"$7,527 ",48.10%,$324.00 ,-3.00%,"$11,996 ","$13,849 "
365,364,HD Supply Holdings,14000,320,"$7,524 ",-14.30%,$196.00 ,-86.70%,"$5,707 ","$8,296 "
366,365,PPL,12689,350,"$7,517 ",-2.00%,"$1,902.00 ",178.90%,"$38,315 ","$25,448 "
367,366,Quest Diagnostics,43000,358,"$7,515 ",0.30%,$645.00 ,-9.00%,"$10,100 ","$13,501 "
368,367,Williams,5604,364,"$7,499 ",1.90%,($424.00),-,"$46,835 ","$24,436 "
369,368,WEC Energy Group,8074,437,"$7,472 ",26.10%,$939.00 ,47.10%,"$30,123 ","$19,134 "
370,369,Hershey,17140,362,"$7,440 ",0.70%,$720.00 ,40.40%,"$5,524 ","$23,236 "
371,370,AGCO,19795,360,"$7,411 ",-0.80%,$160.10 ,-39.90%,"$7,168 ","$4,783 "
372,371,Ralph Lauren,20500,354,"$7,405 ",-2.80%,$396.00 ,-43.60%,"$6,213 ","$6,710 "
373,372,Masco,26000,345,"$7,357 ",-6.90%,$491.00 ,38.30%,"$5,137 ","$10,888 "
374,373,WESCO International,9000,357,"$7,336 ",-2.40%,$101.60 ,-51.80%,"$4,491 ","$3,389 "
375,374,LifePoint Health,47000,430,"$7,274 ",20.90%,$121.90 ,-33.00%,"$6,319 ","$2,616 "
376,375,National Oilwell Varco,36384,192,"$7,251 ",-50.90%,"($2,412.00)",-,"$21,140 ","$15,183 "
377,376,Kindred Healthcare,76650,372,"$7,227 ",1.80%,($664.20),-,"$6,113 ",$711 
378,377,Mosaic,8700,316,"$7,163 ",-19.50%,$297.80 ,-70.20%,"$16,841 ","$10,242 "
379,378,Alliance Data Systems,17000,404,"$7,138 ",10.80%,$515.80 ,-13.50%,"$25,514 ","$13,925 "
380,379,Computer Sciences,59000,233,"$7,106 ",-41.70%,$251.00 ,-,"$7,736 ","$9,746 "
381,380,Huntington Ingalls Industries,37000,378,"$7,068 ",0.70%,$573.00 ,41.80%,"$6,352 ","$9,265 "
382,381,Leidos Holdings,32000,504,"$7,043 ",38.50%,$244.00 ,-3.90%,"$9,132 ","$7,696 "
383,382,Erie Insurance Group,4988,411,"$7,016 ",5.70%,$741.90 ,10.70%,"$18,417 ",-
384,383,Tesla,30025,588,"$7,000 ",73.00%,($674.90),-,"$22,664 ","$45,390 "
385,384,Ascena Retail Group,41000,523,"$6,995 ",45.60%,($11.90),-,"$5,506 ",$830 
386,385,Darden Restaurants,150942,371,"$6,934 ",-3.20%,$375.00 ,-47.10%,"$4,583 ","$10,389 "
387,386,Harman International Industries,26000,419,"$6,912 ",12.30%,$361.70 ,5.60%,"$6,054 ",-
388,387,Nvidia,10299,508,"$6,910 ",37.90%,"$1,666.00 ",171.30%,"$9,841 ","$64,160 "
389,388,R.R. Donnelley & Sons,44360,255,"$6,896 ",-38.70%,($495.90),-428.20%,"$4,285 ",$846 
390,389,Fifth Third Bancorp,17844,376,"$6,889 ",-2.00%,"$1,564.00 ",-8.60%,"$142,177 ","$19,066 "
391,390,Quintiles Transnational Holdings,50000,447,"$6,878 ",19.90%,$115.00 ,-70.30%,"$21,208 ","$18,999 "
392,391,Jones Lang LaSalle,77300,436,"$6,804 ",14.00%,$318.20 ,-27.50%,"$7,629 ","$5,043 "
393,392,Dover,29000,377,"$6,794 ",-3.30%,$508.90 ,-41.50%,"$10,116 ","$12,502 "
394,393,Spirit AeroSystems Holdings,14400,389,"$6,793 ",2.20%,$469.70 ,-40.40%,"$5,405 ","$6,900 "
395,394,Ryder System,34500,395,"$6,787 ",3.30%,$262.50 ,-13.90%,"$10,903 ","$3,992 "
396,395,A-Mark Precious Metals,83000,426,"$6,784 ",11.80%,$9.30 ,31.50%,$437 ,$120 
397,396,Tractor Supply,19500,415,"$6,780 ",8.90%,$437.10 ,6.50%,"$2,675 ","$8,960 "
398,397,Sealed Air,23000,375,"$6,778 ",-3.60%,$486.40 ,45.00%,"$7,389 ","$8,432 "
399,398,Auto-Owners Insurance,4737,398,"$6,775 ",4.00%,$706.30 ,-13.40%,"$21,571 ",-
400,399,Yum China Holdings,420000,,"$6,752 ",-,$502.00 ,-,"$3,727 ","$10,453 "
401,400,Calpine,2372,402,"$6,716 ",3.80%,$92.00 ,-60.90%,"$19,317 ","$3,989 "
402,401,Owens-Illinois,27000,418,"$6,702 ",8.90%,$209.00 ,54.80%,"$9,135 ","$3,316 "
403,402,Targa Resources,1970,387,"$6,691 ",0.50%,($187.30),-421.30%,"$12,871 ","$11,743 "
404,403,JetBlue Airways,15986,405,"$6,632 ",3.40%,$759.00 ,12.10%,"$9,487 ","$6,875 "
405,404,Jones Financial,43000,382,"$6,632 ",-0.90%,$746.00 ,-11.00%,"$19,424 ",-
406,405,Franklin Resources,9059,344,"$6,618 ",-16.70%,"$1,726.70 ",-15.20%,"$16,099 ","$23,823 "
407,406,Activision Blizzard,9500,532,"$6,608 ",41.70%,$966.00 ,8.30%,"$17,452 ","$37,487 "
408,407,J.B. Hunt Transport Services,22190,416,"$6,556 ",5.90%,$432.10 ,1.10%,"$3,829 ","$10,212 "
409,408,Constellation Brands,9000,429,"$6,548 ",8.60%,"$1,054.90 ",25.70%,"$16,965 ","$31,775 "
410,409,NCR,33500,409,"$6,543 ",2.70%,$270.00 ,-,"$7,673 ","$5,620 "
411,410,Asbury Automotive Group,7900,393,"$6,528 ",-0.90%,$167.20 ,-1.20%,"$2,336 ","$1,271 "
412,411,American Financial Group,7600,421,"$6,498 ",5.70%,$649.00 ,84.40%,"$55,072 ","$8,303 "
413,412,Discovery Communications,7000,406,"$6,497 ",1.60%,"$1,194.00 ",15.50%,"$15,758 ","$11,306 "
414,413,Berry Global Group,21000,518,"$6,489 ",32.90%,$236.00 ,174.40%,"$7,653 ","$6,256 "
415,414,Sanmina,40178,408,"$6,481 ",1.70%,$187.80 ,-50.20%,"$3,625 ","$3,016 "
416,415,CalAtlantic Group,3055,640,"$6,477 ",83.00%,$484.70 ,127.00%,"$8,709 ","$4,291 "
417,416,Dr Pepper Snapple Group,20000,413,"$6,440 ",2.50%,$847.00 ,10.90%,"$9,791 ","$17,997 "
418,417,Dillard,30800,380,"$6,418 ",-5.00%,$169.20 ,-37.20%,"$3,888 ","$1,645 "
419,418,HRG Group,16021,441,"$6,403 ",10.10%,($198.80),-,"$35,793 ","$3,869 "
420,419,CMS Energy,7750,403,"$6,399 ",-0.90%,$551.00 ,5.40%,"$21,622 ","$12,528 "
421,420,Graybar Electric,8500,423,"$6,385 ",4.50%,$93.10 ,2.20%,"$2,099 ",-
422,421,Builders FirstSource,14000,637,"$6,367 ",78.60%,$144.30 ,-,"$2,910 ","$1,669 "
423,422,Yum Brands,90000,218,"$6,366 ",-51.40%,"$1,619.00 ",25.20%,"$5,478 ","$22,611 "
424,423,Casey,24724,374,"$6,304 ",-10.60%,$226.00 ,25.10%,"$2,726 ","$4,400 "
425,424,Amphenol,62000,462,"$6,286 ",12.90%,$822.90 ,7.80%,"$8,499 ","$21,897 "
426,425,Oshkosh,13800,424,"$6,279 ",3.00%,$216.40 ,-5.70%,"$4,514 ","$5,118 "
427,426,iHeartMedia,18700,414,"$6,274 ",0.50%,($296.30),-,"$12,862 ",$330 
428,427,TreeHouse Foods,16027,686,"$6,175 ",92.60%,($228.60),-298.90%,"$6,546 ","$4,813 "
429,428,Alleghany,3420,509,"$6,131 ",22.60%,$456.90 ,-18.50%,"$23,757 ","$9,476 "
430,429,Expeditors International of Washington,16000,390,"$6,098 ",-7.80%,$430.80 ,-5.80%,"$2,791 ","$10,208 "
431,430,Avery Dennison,25000,435,"$6,087 ",2.00%,$320.70 ,16.90%,"$4,396 ","$7,157 "
432,431,Ameren,8629,425,"$6,076 ",-0.40%,$653.00 ,3.70%,"$24,699 ","$13,245 "
433,432,Hanesbrands,67800,448,"$6,063 ",5.80%,$539.40 ,25.80%,"$6,908 ","$7,733 "
434,433,Motorola Solutions,14000,451,"$6,038 ",6.00%,$560.00 ,-8.20%,"$8,463 ","$14,131 "
435,434,St. Jude Medical,18000,465,"$6,004 ",8.40%,$734.00 ,-16.60%,"$12,578 ",-
436,435,Harley-Davidson,6000,432,"$5,997 ",-,$692.20 ,-8.00%,"$9,890 ","$10,626 "
437,436,Regions Financial,22166,453,"$5,967 ",5.20%,"$1,163.00 ",9.50%,"$125,968 ","$17,512 "
438,437,Intercontinental Exchange,5631,529,"$5,958 ",27.30%,"$1,422.00 ",11.60%,"$82,003 ","$35,530 "
439,438,Alaska Air Group,19112,459,"$5,931 ",5.90%,$814.00 ,-4.00%,"$9,962 ","$11,407 "
440,439,Old Republic International,8500,442,"$5,901 ",2.30%,$466.90 ,10.60%,"$18,592 ","$5,382 "
441,440,Lam Research,7500,491,"$5,886 ",11.90%,$914.00 ,39.40%,"$12,272 ","$20,903 "
442,441,AK Steel Holding,8500,383,"$5,883 ",-12.10%,($7.80),-,"$4,036 ","$2,263 "
443,442,Rockwell Automation,22000,412,"$5,880 ",-6.80%,$729.70 ,-11.80%,"$7,101 ","$20,024 "
444,443,Adobe Systems,15706,524,"$5,854 ",22.10%,"$1,168.80 ",85.70%,"$12,707 ","$64,375 "
445,444,Avon Products,26400,370,"$5,853 ",-18.40%,($107.60),-,"$3,419 ","$1,933 "
446,445,Terex,18100,396,"$5,841 ",-10.70%,($176.10),-220.70%,"$5,007 ","$3,250 "
447,446,NVR,4900,498,"$5,835 ",12.90%,$425.30 ,11.10%,"$2,644 ","$7,851 "
448,447,Dana Holding,24900,428,"$5,826 ",-3.90%,$640.00 ,302.50%,"$4,860 ","$2,783 "
449,448,Realogy Holdings,11800,449,"$5,810 ",1.80%,$213.00 ,15.80%,"$7,421 ","$4,173 "
450,449,American Tower,4507,526,"$5,786 ",21.30%,$956.40 ,39.60%,"$30,879 ","$51,921 "
451,450,Packaging Corp. of America,14000,446,"$5,779 ",0.60%,$449.60 ,2.90%,"$5,777 ","$8,631 "
452,451,Citizens Financial Group,17600,486,"$5,763 ",9.20%,"$1,045.00 ",24.40%,"$149,520 ","$17,597 "
453,452,United Rentals,12500,440,"$5,762 ",-0.90%,$566.00 ,-3.20%,"$11,988 ","$10,561 "
454,453,Clorox,8000,455,"$5,761 ",1.70%,$648.00 ,11.70%,"$4,518 ","$17,294 "
455,454,Genesis Healthcare,82000,457,"$5,733 ",2.00%,($64.00),-,"$5,779 ",$408 
456,455,M&T Bank Corp.,16487,510,"$5,722 ",14.50%,"$1,315.10 ",21.80%,"$123,449 ","$23,792 "
457,456,Ingredion,11000,456,"$5,704 ",1.50%,$484.90 ,20.60%,"$5,782 ","$8,646 "
458,457,UGI,13105,384,"$5,686 ",-15.00%,$364.70 ,29.80%,"$10,847 ","$8,543 "
459,458,Owens Corning,16000,480,"$5,677 ",6.10%,$393.00 ,19.10%,"$7,741 ","$6,910 "
460,459,S&P Global,20000,481,"$5,661 ",6.60%,"$2,106.00 ",82.20%,"$8,669 ","$33,805 "
461,460,Markel,10900,476,"$5,612 ",4.50%,$455.70 ,-21.80%,"$25,875 ","$13,623 "
462,461,Wyndham Worldwide,37800,466,"$5,599 ",1.10%,$611.00 ,-0.20%,"$9,819 ","$8,829 "
463,462,Arthur J. Gallagher,24790,471,"$5,595 ",3.80%,$414.40 ,16.10%,"$11,490 ","$10,148 "
464,463,Burlington Stores,40000,500,"$5,591 ",9.00%,$215.90 ,43.50%,"$2,575 ","$6,836 "
465,464,First American Financial,19531,497,"$5,576 ",7.70%,$343.00 ,19.10%,"$8,832 ","$4,332 "
466,465,Symantec,11000,400,"$5,568 ",-14.40%,"$2,488.00 ",183.40%,"$11,767 ","$18,986 "
467,466,Patterson,7000,559,"$5,555 ",27.00%,$187.20 ,-16.20%,"$3,521 ","$4,393 "
468,467,Olin,6400,761,"$5,551 ",94.50%,($3.90),-,"$8,763 ","$5,444 "
469,468,NetApp,12030,422,"$5,546 ",-9.40%,$229.00 ,-59.10%,"$10,037 ","$11,339 "
470,469,Raymond James Financial,11900,482,"$5,520 ",4.00%,$529.40 ,5.40%,"$31,594 ","$10,958 "
471,470,TravelCenters of America,20259,439,"$5,511 ",-5.80%,($2.00),-107.30%,"$1,660 ",$241 
472,471,Fiserv,23000,492,"$5,505 ",4.80%,$930.00 ,30.60%,"$9,743 ","$24,741 "
473,472,Host Hotels & Resorts,220000,472,"$5,488 ",1.90%,$762.00 ,36.60%,"$11,408 ","$13,794 "
474,473,Insight Enterprises,5930,474,"$5,486 ",2.10%,$84.70 ,11.70%,"$2,219 ","$1,458 "
475,474,Mattel,32000,450,"$5,457 ",-4.30%,$318.00 ,-13.90%,"$6,494 ","$8,770 "
476,475,AmTrust Financial Services,8000,531,"$5,451 ",18.10%,$411.00 ,-8.80%,"$22,615 ","$3,158 "
477,476,Cincinnati Financial,4754,499,"$5,449 ",6.00%,$590.70 ,-6.80%,"$20,386 ","$11,911 "
478,477,Simon Property Group,4050,488,"$5,435 ",3.20%,"$1,838.90 ",0.60%,"$31,104 ","$53,732 "
479,478,Western Union,10700,468,"$5,423 ",-1.10%,$253.20 ,-69.80%,"$9,420 ","$9,691 "
480,479,KeyCorp,15700,540,"$5,422 ",19.40%,$791.00 ,-13.60%,"$136,453 ","$19,238 "
481,480,Delek US Holdings,1326,445,"$5,414 ",-6.00%,($153.70),-892.30%,"$2,985 ","$1,504 "
482,481,Booz Allen Hamilton Holding,22600,487,"$5,406 ",2.50%,$294.10 ,26.50%,"$3,010 ","$5,307 "
483,482,Chemours,7000,,"$5,400 ",-,$7.00 ,-,"$6,060 ","$7,080 "
484,483,Western & Southern Financial Group,2178,479,"$5,398 ",0.80%,$241.20 ,-47.20%,"$43,831 ",-
485,484,Celanese,7293,453,"$5,389 ",-5.00%,$900.00 ,196.10%,"$8,357 ","$12,643 "
486,485,Windstream Holdings,11870,443,"$5,387 ",-6.60%,($383.50),-,"$11,770 ","$1,038 "
487,486,Seaboard,11781,460,"$5,379 ",-3.80%,$312.00 ,82.50%,"$4,755 ","$4,881 "
488,487,Essendant,6600,477,"$5,369 ",0.10%,$63.90 ,-,"$2,164 ",$568 
489,488,Apache,3727,388,"$5,354 ",-19.50%,"($1,405.00)",-,"$22,519 ","$19,547 "
490,489,Airgas,17000,484,"$5,314 ",0.20%,$337.50 ,-8.30%,"$6,135 ",-
491,490,Kelly Services,7500,467,"$5,277 ",-4.40%,$120.80 ,124.50%,"$2,028 ",$836 
492,491,Liberty Media,3626,525,"$5,276 ",10.00%,$680.00 ,962.50%,"$31,377 ","$13,055 "
493,492,Rockwell Collins,19000,490,"$5,259 ",-0.10%,$728.00 ,6.10%,"$7,707 ","$12,711 "
494,493,Robert Half International,16400,503,"$5,250 ",3.10%,$343.40 ,-4.00%,"$1,778 ","$6,240 "
495,494,CH2M Hill,20000,478,"$5,236 ",-2.30%,$15.00 ,-81.30%,"$2,671 ",-
496,495,Big Lots,23150,495,"$5,200 ",0.20%,$152.80 ,7.00%,"$1,608 ","$2,180 "
497,496,Michaels Cos.,31000,517,"$5,197 ",5.80%,$378.20 ,4.20%,"$2,148 ","$4,229 "
498,497,Toll Brothers,4200,576,"$5,170 ",23.90%,$382.10 ,5.20%,"$9,737 ","$5,872 "
499,498,Yahoo,8500,513,"$5,169 ",4.00%,($214.30),-,"$48,083 ","$44,391 "
500,499,Vistra Energy,4431,,"$5,164 ",-,-,-,"$15,167 ","$6,968 "
501,500,ABM Industries,110000,485,"$5,145 ",-2.80%,$57.20 ,-25.00%,"$2,281 ","$2,428 "